First_Term_Gpa,Second_Term_Gpa,First_Language,Funding,FastTrack,Coop,Residency,Gender,Previous_Education,Age_Group,Math_Score,English_Grade,First_Year_Persistence
0.0,0.0,1,2.0,1,0,0,2.0,1,1,16.0,7,1.0
2.5,2.0,3,4.0,0,1,1,2.0,1,3,32.6760710553814,7,1.0
4.25,3.923077,1,1.0,1,0,0,1.0,2,3,41.0,9,1.0
3.020833,2.321429,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
4.275,4.326923,1,2.0,0,0,0,1.0,2,3,32.6760710553814,9,1.0
4.357143,4.326087,1,2.0,1,0,0,2.0,2,3,45.0,9,1.0
2.210526,1.375,1,2.0,1,0,0,2.0,1,1,20.0,7,0.0
2.045455,2.961538,1,2.0,1,0,0,2.0,1,1,34.0,9,1.0
4.285714,3.608696,1,2.0,1,0,0,1.0,1,2,39.0,9,1.0
2.863636,1.3,1,2.0,1,0,0,2.0,1,1,29.0,7,1.0
2.75,2.75,3,4.0,0,1,1,2.0,2,3,41.0,8,1.0
2.125,2.136364,1,2.0,1,0,0,2.0,1,2,18.0,7,1.0
1.46,0.0,1,2.0,1,1,0,2.0,1,1,17.0,9,1.0
4.421053,4.315789,1,2.0,1,1,0,2.0,1,4,38.0,7,1.0
3.791667,3.979167,4,4.0,1,1,1,2.0,1,4,47.0,8,1.0
3.717391,3.895833,3,4.0,0,1,1,2.0,2,3,32.6760710553814,10,1.0
4.233333,4.277778,1,2.0,1,1,0,1.0,2,8,32.6760710553814,9,1.0
3.413043,3.346154,3,8.0,0,1,0,2.0,2,8,32.6760710553814,7,1.0
3.375,3.696429,3,4.0,0,1,1,2.0,2,3,32.6760710553814,4,1.0
3.785714,3.431818,3,4.0,1,1,1,2.0,1,3,48.0,10,1.0
3.58,3.346154,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
3.086957,2.65625,1,2.0,1,1,0,2.0,1,1,28.0,9,0.0
4.5,4.421053,1,2.0,1,1,0,1.0,2,3,32.0,9,1.0
3.6,3.190476,3,4.0,0,1,1,1.0,1,3,32.6760710553814,9,1.0
3.425,3.175,3,4.0,1,1,1,2.0,2,3,32.6760710553814,8,1.0
3.770833,3.5,3,4.0,1,1,1,2.0,1,2,48.0,9,1.0
2.071429,3.166667,3,2.0,1,0,0,2.0,2,6,41.0,8,1.0
2.55,3.022727,3,2.0,0,1,0,2.0,2,8,32.6760710553814,8,1.0
3.782609,3.269231,3,4.0,0,1,1,1.0,2,2,32.6760710553814,8,1.0
3.979167,4.037037,3,4.0,0,0,1,1.0,2,3,32.6760710553814,7,1.0
2.645833,3.020833,3,4.0,1,1,1,2.0,2,1,39.0,8,1.0
4.5,4.5,1,2.0,1,1,0,2.0,2,3,43.0,9,1.0
3.065217,3.210526,3,2.0,1,0,0,1.0,0,4,26.0,9,1.0
2.125,1.409091,3,2.0,1,1,0,2.0,1,2,31.0,9,0.0
1.6,2.566667,1,2.0,1,0,0,2.0,1,2,21.0,7,1.0
4.225,4.428571,3,4.0,1,1,1,1.0,1,1,46.0,9,1.0
3.595238,3.0,3,4.0,1,1,1,2.0,1,2,48.0,8,1.0
3.82,3.611111,1,2.0,1,1,0,2.0,1,3,20.0,9,1.0
3.928571,4.190476,1,2.0,1,1,0,1.0,2,4,40.0,9,1.0
2.565217,2.153846,1,1.0,1,0,0,2.0,1,1,25.0,9,1.0
2.52381,1.823529,3,2.0,1,0,0,2.0,1,2,16.0,4,1.0
4.309524,4.095238,1,2.0,1,1,0,1.0,1,2,48.0,9,1.0
3.865385,3.844828,3,4.0,0,1,1,2.0,2,3,47.0,4,1.0
2.05,2.555556,1,2.0,1,1,0,1.0,1,1,23.0,10,1.0
3.47619,2.975,1,2.0,1,0,0,1.0,2,3,32.0,9,1.0
3.304348,3.326923,3,4.0,0,0,1,1.0,1,3,32.6760710553814,8,1.0
1.105263,0.0,1,2.0,1,1,0,2.0,2,2,22.0,7,0.0
2.23913,2.361111,3,4.0,1,1,1,2.0,2,1,32.0,8,1.0
3.54,2.521739,1,2.0,1,1,0,2.0,1,1,34.0,7,1.0
3.526316,2.477273,1,2.0,1,0,0,2.0,1,1,19.0,7,1.0
1.78,2.8201755787000775,1,2.0,1,0,0,2.0,1,1,28.0,9,0.0
4.38,4.425,1,2.0,1,1,0,2.0,1,4,26.0,9,1.0
3.027778,2.235294,3,4.0,1,1,1,2.0,1,2,29.0,9,1.0
2.309524,3.043478,3,4.0,0,1,1,2.0,1,3,32.6760710553814,8,1.0
2.875,3.068182,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
3.826087,3.704545,1,2.0,1,1,0,1.0,1,6,26.0,9,1.0
3.32,1.333333,1,2.0,1,1,0,2.0,1,3,32.0,9,1.0
2.875,2.795455,1,2.0,1,0,0,2.0,1,1,43.0,9,1.0
3.456522,3.52381,3,2.0,1,0,0,1.0,1,2,40.0,8,1.0
2.695652,2.630435,1,1.0,1,0,0,2.0,1,1,29.0,9,1.0
3.06,3.304348,3,4.0,0,1,1,2.0,2,3,45.0,8,1.0
3.277778,3.44,3,4.0,0,1,1,2.0,1,3,32.6760710553814,9,1.0
0.2,0.0,3,2.0,1,0,0,2.0,0,3,23.0,9,0.0
2.94,1.727273,1,2.0,1,1,0,1.0,1,2,19.0,9,0.0
0.0,2.8201755787000775,1,2.0,1,1,0,2.0,0,4,26.0,9,0.0
1.857143,2.8201755787000775,4,4.0,1,1,1,2.0,1,1,47.0,7,0.0
3.804348,3.714286,3,4.0,1,1,1,1.0,2,2,40.0,4,1.0
4.065217,3.72,1,2.0,0,0,0,2.0,2,3,32.6760710553814,9,1.0
1.526316,0.157895,1,2.0,1,1,0,2.0,1,2,21.0,7,0.0
1.710526,0.346154,2,2.0,1,0,0,2.0,1,2,10.0,7,0.0
2.956522,3.52381,3,4.0,1,1,1,1.0,2,1,35.0,8,1.0
2.157895,3.552632,3,4.0,1,0,1,2.0,1,2,49.0,8,1.0
4.02381,4.184211,3,2.0,1,1,0,2.0,2,5,44.0,10,0.0
1.975,0.0,1,2.0,1,1,0,2.0,1,3,32.6760710553814,9,1.0
0.4375,0.0,1,2.0,1,1,0,2.0,1,1,20.0,7,0.0
3.925,3.02381,1,2.0,1,1,0,2.0,0,4,39.0,7,1.0
2.571429,2.388889,1,2.0,1,0,0,2.0,1,1,38.0,9,1.0
3.4,3.326087,1,2.0,1,1,0,2.0,1,3,35.0,3,1.0
3.521739,3.288462,3,4.0,0,1,1,1.0,1,3,32.6760710553814,7,1.0
0.543478,0.0,3,4.0,1,1,1,2.0,1,3,27.0,5,1.0
2.369565,2.6875,1,2.0,1,0,0,1.0,1,1,22.0,10,1.0
3.347826,2.704545,3,4.0,1,1,1,1.0,1,1,31.0,4,1.0
3.456522,2.98,3,4.0,0,1,1,2.0,2,3,32.6760710553814,9,1.0
3.880952,3.434783,1,2.0,1,0,0,2.0,1,1,42.0,9,1.0
1.541667,1.934783,1,2.0,1,1,0,2.0,1,1,24.0,9,1.0
3.56,3.318182,1,2.0,1,0,0,2.0,1,1,29.0,9,1.0
0.157895,0.0,1,2.0,1,0,0,2.0,1,1,19.0,7,0.0
3.854167,3.66,4,4.0,1,1,1,2.0,1,2,49.0,8,1.0
2.58,2.282609,1,2.0,1,1,0,2.0,1,2,19.0,7,1.0
3.882353,3.605263,1,2.0,1,1,0,2.0,2,3,25.0,9,1.0
2.210526,2.363636,1,8.0,1,1,0,2.0,1,7,16.0,9,1.0
4.217391,4.333333,3,2.0,1,1,0,1.0,2,7,46.0,10,1.0
3.354167,3.681818,1,2.0,1,1,0,2.0,1,2,20.0,7,1.0
2.928571,2.375,1,2.0,1,0,0,2.0,1,3,36.0,9,1.0
3.452381,1.090909,3,4.0,1,0,1,2.0,1,3,47.0,10,1.0
3.068182,2.977273,1,2.0,1,0,0,2.0,1,2,32.0,5,1.0
3.818182,3.75,3,4.0,1,1,1,2.0,1,2,47.0,10,1.0
1.230769,1.625,1,2.0,1,1,0,2.0,1,1,23.0,7,1.0
3.916667,3.815789,1,2.0,1,1,0,2.0,1,1,39.0,9,1.0
1.176471,1.95,1,2.0,1,0,0,2.0,1,2,16.0,7,1.0
2.275,1.9,3,4.0,0,1,1,2.0,2,3,32.6760710553814,4,0.0
3.875,4.119048,1,2.0,1,1,0,2.0,1,1,40.0,10,1.0
1.568182,2.8201755787000775,1,2.0,1,1,0,2.0,0,3,29.0,8,0.0
4.434783,4.46,1,2.0,0,1,0,1.0,2,3,32.6760710553814,9,1.0
2.416667,2.365385,3,4.0,0,1,1,1.0,1,3,32.6760710553814,7,1.0
1.59375,2.978261,3,2.0,1,0,0,2.0,1,1,36.0,7,1.0
2.304348,1.809524,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
3.5,3.5,3,4.0,0,1,1,1.0,2,3,32.6760710553814,4,1.0
0.0,2.8201755787000775,1,2.0,1,1,0,2.0,1,1,29.0,7,0.0
4.095238,3.97619,1,2.0,1,1,0,1.0,1,1,32.6760710553814,9,1.0
3.354167,3.821429,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
0.0,2.8201755787000775,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,0.0
